On Old Website,Film Title,Year,Original Story,Story Author,Story Year,Region,Director,Studio,Genres,Survival Status,Access Status,Notes,Film URL,Research Status,Personal Copy,Copy Notes
FALSE,Tess of the Storm Country,1960,Tess of the Storm Country,Grace Miller White,1909,"Upstate New York",Paul Guilfoyle,20th Century Fox,Drama,Extant,Restricted,At UCLA,,,,FALSE,
TRUE,Polly of the Storm Country,1920,Storm Country Polly,Grace Miller White,1920,"Upstate New York",Arthur Rossen,Chaplin-Mayer Pictures Company,Drama,Lost,Unavailable,,,,,FALSE,
TRUE,Tess of the Storm Country,1914,Tess of the Storm Country,Grace Miller White,1909,"Upstate New York",Edwin S. Porter,Famous Players Film Company,Drama,Extant,Available,At UCLA; was on DVD in high quality but now out of print,,,,TRUE,
FALSE,Tess of the Storm Country,1932,Tess of the Storm Country,Grace Miller White,1909,"Upstate New York",Alfred Santell,Fox Film Corporation,Drama,Extant,Restricted,At UCLA; screened at MOMA,,,,FALSE,
TRUE,The Secret of the Storm Country,1917,The Secret of the Storm Country,Grace Miller White,1917,"Upstate New York",Charles Miller,Norma Talmadge Film Corporation,Drama,Lost,Unavailable,,,,,FALSE,
FALSE,Judy of Rogue's Harbor,1920,Judy of Rogue's Harbor,Grace Miller White,1918,"Upstate New York",William Desmond Taylor,Realart Pictures Corporation,Drama,Lost,Unavailable,,,,,FALSE,
FALSE,Tess of the Storm Country,1922,Tess of the Storm Country,Grace Miller White,1909,"Upstate New York",John S. Robertson,United Artists,Melodrama,Extant,Available,,"Tess of Storm Country (Mary Pickford, 1914 and 1922 versions) : Free Download, Borrow, and Streaming",,,TRUE,
TRUE,Uncle Tom's Cabin,1918,Uncle Tom's Cabin,Harriet Beecher Stowe,1852,"Deep South",J. Searle Dawley,Famous Players-Lasky,Drama,Lost,Unavailable,,,,,FALSE,
FALSE,Topsy and Eva,1927,Uncle Tom's Cabin,Harriet Beecher Stowe,1852,"Deep South",Del Lord,Feature Productions/United Artists,Drama,Extant,Restricted,,,,,FALSE,
TRUE,The Pearl of Love,1925,The Pearl of Orr's Island,Harriet Beecher Stowe,1862,"Coastal Maine",Leon E. Danmun,Paul W. Whitcombe Productions,Melodrama,Lost,Unavailable,,,,,FALSE,
TRUE,Uncle Tom's Cabin,1910,Uncle Tom's cabin,Harriet Beecher Stowe,1852,"Deep South",Barry O'Neil,Thanhauser,Drama,Lost,Unavailable,,,,,FALSE,
TRUE,Uncle Tom's Cabin,1927,Uncle Tom's Cabin,Harriet Beecher Stowe,1852,"Deep South",Henry A. Pollard,Universal,,Extant,Available,,Amazon.com: Uncle Tom's Cabin [Blu-ray],,,FALSE,
TRUE,Uncle Tom's Cabin parts 1-3,1910,Uncle Tom's Cabin,Harriet Beecher Stowe,1852,"Deep South",Frederick A. Thomson,Vitagraph,Melodrama,Extant,Restricted,Incomplete,,,,FALSE,
TRUE,Uncle Tom's Cabin,1914,Uncle Tom's Cabin,Harriet Beecher Stowe,1852,"Deep South",William Robert Daly,World Producing Corp.,Melodrama,Extant,Restricted,,,,,FALSE,
